repo_name,owner_login,unique_human_contributors,active_days,active_months,push_events,pull_requests_opened,pull_requests_closed,merged_pull_requests,reviews_submitted,issues_opened,issue_comments,releases,weighted_activity_score,automation_event_share,single_actor_event_share,first_seen,last_seen
merge-demo/mergequeue-st,merge-demo,7,61,3,17,4522,1351,1350,0,0,2688,0,23038.0,0.9506390226779683,0.2041268360923292,2026-05-01,2026-07-31
merge-demo/mergequeue-bazel,merge-demo,5,84,3,1,2657,2483,2482,0,0,2532,0,22915.0,0.9120875343721356,0.20552586993353317,2026-05-01,2026-07-23
llvm/llvm-project,llvm,1105,92,3,5768,478,340,323,1600,80,1109,0,22174.0,0.08705813613789073,0.027413333333333335,2026-05-01,2026-07-31
tenstorrent/tt-metal,tenstorrent,339,92,3,9247,109,87,81,352,73,266,0,20973.0,0.16668037167996053,0.027136372607065324,2026-05-01,2026-07-31
oven-sh/bun,oven-sh,154,92,3,8396,183,108,81,637,33,629,0,20956.0,0.20996835443037976,0.6787502503504906,2026-05-01,2026-07-31
odoo/documentation,odoo,67,92,3,10240,9,11,0,40,0,91,0,20758.0,0.0096263820053374,0.9477432393417381,2026-05-01,2026-07-31
SAPTARSHI-coder/EaseMotion-css,SAPTARSHI-coder,277,65,3,8023,398,490,428,2,334,754,0,20476.0,0.15638970898355126,0.8665133486651335,2026-05-28,2026-07-31
NousResearch/hermes-agent,NousResearch,2251,92,3,3667,2043,502,304,367,583,2820,1,19857.0,0.03741201427056214,0.29570269458078735,2026-05-01,2026-07-31
openai/codex,openai,1347,92,3,7485,199,111,99,438,414,1277,0,19505.0,0.08601952477435992,0.07627972591696897,2026-05-01,2026-07-31
ethereum/ethereum-org-website,ethereum,16,75,3,9257,15,7,7,13,11,12,0,18669.0,0.005869797225186766,0.9694041867954911,2026-05-01,2026-07-31
conda-forge/admin-requests,conda-forge,18,53,3,9121,4,3,3,2,1,9,0,18287.0,0.0,0.9928884026258206,2026-05-01,2026-07-28
agenticsnz/unsorry,agenticsnz,11,26,2,8239,141,159,147,3,3,27,0,17678.0,0.03042642235041285,0.8370275314979001,2026-06-10,2026-07-29
